88,5,2,1,2,2,0,2,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,28,430,4,2957
89,2,2,1,2,2,0,2,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,6,204,5,963
88,2,2,1,2,2,0,1,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,6,71,4,1233
91,1,3,1,1,1,0,3,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,6,840,7,3240
90,2,3,1,1,1,0,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,11,1648,6,10000
91,2,3,1,1,1,0,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,8,1035,7,6800
85,3,2,1,2,2,0,1,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,22,548,1,3850
91,3,3,1,2,2,1,3,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,31,2054,7,14000
88,5,2,1,2,2,0,2,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,26,302,4,5787
93,3,3,1,2,2,1,3,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,22,1172,9,9700
91,1,5,1,1,2,0,1,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,7,253,7,1100
92,2,2,1,2,2,0,2,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,14,227,8,5578
92,2,2,1,2,2,0,3,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,6,59,8,1060
91,1,2,1,2,2,1,4,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,6,299,7,5279
89,3,2,1,2,2,0,1,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,15,422,5,8117
