87,2,2,1,2,2,0,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,13,211,3,1520
91,2,2,1,2,2,1,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,32,1849,7,25910
89,2,2,1,2,2,1,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,38,2482,5,37286
85,3,3,1,2,2,0,4,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,40,434,1,15052
87,2,2,1,2,2,0,3,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,29,292,3,11039
90,3,3,1,2,2,0,4,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,14,2954,6,18500
91,2,3,1,2,2,0,1,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,14,304,7,9369
89,2,5,1,2,1,0,1,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,28,353,5,7184
92,2,2,1,2,2,1,4,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,16,567,8,10447
91,2,2,1,2,2,1,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,13,467,7,5100
87,2,2,1,2,2,0,3,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,45,3368,3,63694
92,3,2,1,2,2,1,2,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,4,253,8,1651
91,4,3,1,2,2,1,3,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,10,196,7,1450
92,1,2,1,2,2,0,4,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,12,185,8,1745
88,3,2,1,2,2,0,2,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,6,387,4,1798
